stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,2,10.0,0.03014429984614253,,0.011799899861216545,0.03014429984614253,0.5693684997968376,0.5693684997968376,0.5798415997996926,0.8799997000023723,1.5029489998705685,right,10.0,1,1,0.8412212000694126,212331,001,2024-09-10_16h50.04.560,adpative_staircase,2024.1.5,None,2024-09-10 16h50.09.711597 +0530,
1,2,8.0,1.5115670999512076,,1.503131799865514,1.5115670999512076,2.012947699986398,2.012947699986398,2.012947699986398,2.3127536999527365,2.73210239992477,left,-8.0,1,1,0.7143692001700401,212331,001,2024-09-10_16h50.04.560,adpative_staircase,2024.1.5,None,2024-09-10 16h50.09.711597 +0530,
2,1,6.0,2.7459869999438524,,2.7322064999025315,2.7459869999438524,3.2462418999057263,3.2462418999057263,3.2462418999057263,3.545477099949494,4.2311664998997,left,-6.0,0,0,0.9756386999506503,212331,001,2024-09-10_16h50.04.560,adpative_staircase,2024.1.5,None,2024-09-10 16h50.09.711597 +0530,
3,1,7.0,4.245948999887332,,4.231267999857664,4.245948999887332,4.74663079995662,4.74663079995662,4.74663079995662,5.045922399964184,5.530125299934298,left,-7.0,1,1,0.7731880000792444,212331,001,2024-09-10_16h50.04.560,adpative_staircase,2024.1.5,None,2024-09-10 16h50.09.711597 +0530,
4,1,7.0,5.545816299971193,,5.530205899849534,5.545816299971193,6.029337099986151,6.029337099986151,6.046166799962521,6.330541000002995,6.766415099846199,right,7.0,1,1,0.7353654000908136,212331,001,2024-09-10_16h50.04.560,adpative_staircase,2024.1.5,None,2024-09-10 16h50.09.711597 +0530,
5,1,7.0,6.779198999982327,,6.76652879989706,6.779198999982327,7.2798892999999225,7.2798892999999225,7.2798892999999225,7.579509899951518,7.949117899872363,right,7.0,1,1,0.6651905998587608,212331,001,2024-09-10_16h50.04.560,adpative_staircase,2024.1.5,None,2024-09-10 16h50.09.711597 +0530,
6,1,6.0,7.962645399849862,,7.9492334998212755,7.962645399849862,8.464035999961197,8.464035999961197,8.464035999961197,8.76299379998818,8.915440999902785,left,-6.0,1,1,0.44876589998602867,212331,001,2024-09-10_16h50.04.560,adpative_staircase,2024.1.5,None,2024-09-10 16h50.09.711597 +0530,
7,1,6.0,8.928786200005561,,8.915585099952295,8.928786200005561,9.430636999895796,9.430636999895796,9.430636999895796,9.730730599956587,9.897057899972424,right,6.0,1,1,0.4557018999475986,212331,001,2024-09-10_16h50.04.560,adpative_staircase,2024.1.5,None,2024-09-10 16h50.09.711597 +0530,
8,1,6.0,9.91269509983249,,9.897174099925905,9.91269509983249,10.397051299922168,10.397051299922168,10.413962899940088,10.697790900012478,10.86559859989211,left,-6.0,1,1,0.46523669990710914,212331,001,2024-09-10_16h50.04.560,adpative_staircase,2024.1.5,None,2024-09-10 16h50.09.711597 +0530,
9,1,5.0,10.879180899821222,,10.865705099888146,10.879180899821222,11.37958289985545,11.37958289985545,11.37958289985545,11.679720799904317,11.999161599902436,left,-5.0,1,1,0.6048934999853373,212331,001,2024-09-10_16h50.04.560,adpative_staircase,2024.1.5,None,2024-09-10 16h50.09.711597 +0530,
